303;A norma del D. Lgs. n.165/2001 e ss.mm.ii., le Pubbliche Amministrazioni possono conferire incarichi retribuiti a dipendenti di altre Pubbliche Amministrazioni?;Sì, ma solo previa autorizzazione dell'amministrazione di appartenenza dei dipendenti stessi.;Sì, esclusivamente  previo il consenso dei dipendenti interessati.;No, in nessun caso.;Sì, senza alcuna limitazione.;
304;A norma del D. Lgs. n.165/2001 e ss.mm.ii., i contratti collettivi di lavoro definiscono anche la tipologia delle infrazioni e delle relative sanzioni disciplinari per i dipendenti pubblici?;Sì, il D. Lgs. n.165/2001 lo prevede espressamente.;No, tale materia è espressamente sottratta alla contrattazione collettiva.;Sì, ma solo per le infrazioni disciplinari di minore gravità, per le quali è prevista l'irrogazione della sanzione non superiore al rimprovero verbale.;Sì, ma solo per le infrazioni disciplinari per le quali è prevista l'irrogazione della sanzione del licenziamento.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
305;A norma del D. Lgs. n.165/2001 e ss.mm.ii., l'ufficio per i procedimenti disciplinari competente per le infrazioni punibili con sanzione superiore al rimprovero verbale:;è individuato da ciascuna Amministrazione, secondo il proprio ordinamento e nell'ambito della propria organizzazione.;è individuato espressamente dal medesimo D. Lgs. n. 165/2001.;è individuato dai singoli contratti collettivi, salvo eccezioni.;è individuato, in ogni caso, dai singoli contratti collettivi.;
306;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., la disciplina stabilita dal contratto collettivo si applica:;alle infrazioni per le quali è previsto il rimprovero verbale.;esclusivamente alle infrazioni per le quali è previsto il licenziamento disciplinare.;esclusivamente alle infrazioni per le quali è previsto il licenziamento senza preavviso.;alle infrazioni per le quali è prevista una sanzione superiore alla sospensione dal servizio con privazione della retribuzione.;
307;A norma del D. Lgs. n.165/2001 e ss.mm.ii., entro quanto tempo dalla ricezione della segnalazione disciplinare, l’Ufficio competente per i procedimenti disciplinari convoca l’interessato per l’audizione in contraddittorio a sua difesa?;Con immediatezza e, comunque, non oltre i 30 giorni.;Senza ritardo e, comunque, non oltre i 15 giorni.;Con immediatezza e, comunque, non oltre i 20 giorni.;Senza ritardo e, comunque, non oltre i 7 giorni.;
308;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., il lavoratore dipendente di una P.A. che attesta falsamente la propria presenza in servizio mediante l'alterazione dei sistemi di rilevamento della presenza, è punito con:;reclusione e multa.;arresto e multa.;reclusione e ammenda.;arresto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
309;Secondo quanto disciplinato dal D. Lgs. n. 165/2001 e ss.mm.ii., e con specifico riferimento agli organi dell’ARAN, le persone che rivestono incarichi pubblici elettivi o cariche in partiti politici:;non possono far parte del collegio di indirizzo e controllo né ricoprire funzioni di presidente.;possono far parte del collegio di indirizzo e controllo ma non possono ricoprire funzioni di presidente.;possono ricoprire funzioni di presidente ma non possono far parte del collegio di indirizzo e controllo.;possono far parte del collegio di indirizzo ovvero ricoprire funzioni di presidente.;
310;Nell’esercizio delle proprie funzioni, il dipendente di una Pubblica Amministrazione può incorrere in diverse tipologie di responsabilità. In quali di queste incorre il dipendente che giustifica l'assenza dal servizio mediante una certificazione medica falsa o falsamente attestante uno stato di malattia?;Incorre in responsabilità penale, disciplinare e amministrativo-contabile.;Incorre nella sola responsabilità penale che, in ogni caso, assorbe eventuali ulteriori forme di responsabilità.;Incorre nelle sole responsabilità penale e disciplinare.;Incorre nella sola responsabilità disciplinare.;
311;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., il lavoratore dipendente di una P.A. che attesta falsamente la propria presenza in servizio, mediante modalità fraudolente, è punito con:;reclusione e multa.;arresto e multa.;reclusione e ammenda.;ammenda.;
312;A norma del D. Lgs. n.165/2001 e ss.mm.ii., il mancato esercizio dell’azione disciplinare senza giustificato motivo, comporta, per i soggetti responsabili:;l'applicazione della sospensione dal servizio fino a un massimo di 3 mesi, salvo eccezioni.;l'applicazione della sospensione dal servizio fino a un massimo di 6 mesi, salvo eccezioni.;l'applicazione della sanzione del licenziamento, in ogni caso.;l'applicazione della sospensione dal servizio fino a un massimo di 12 mesi, senza eccezioni.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
313;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., la decadenza dall'azione disciplinare, dovuti all'omissione o al ritardo, senza giustificato motivo, degli atti del procedimento disciplinare, comporta, per i soggetti responsabili:;l'applicazione della sospensione dal servizio fino a un massimo di 3 mesi, salvo eccezioni.;l'applicazione della sospensione dal servizio fino a un massimo di 6 mesi, salvo eccezioni.;l'applicazione della sanzione del licenziamento, in ogni caso.;l’applicazione della sospensione dal servizio fino a un massimo di 12 mesi, senza eccezioni.;
314;Secondo quanto disciplinato dal D. Lgs. n. 165/2001 e ss.mm.ii., quale, tra i seguenti, è un organo dell’ARAN?;Il Collegio di indirizzo e controllo.;Il Nucleo di valutazione.;Il Consiglio di amministrazione.;Il Collegio dei revisori.;
315;Ai sensi della normativa vigente in materia di rapporto di lavoro alle dipendenze della Pubblica Amministrazione, in caso di assenza per malattia, l'obbligo di reperibilità del dipendente pubblico sussiste anche per malattie per le quali è stata riconosciuta la causa di servizio oppure conseguenti a infortuni sul lavoro?;No, tale obbligo è espressamente escluso per entrambe le ipotesi.;Sì, tale obbligo sussiste comunque per entrambe le ipotesi.;L’obbligo di reperibilità è espressamente escluso solo per malattie conseguenti a infortuni sul lavoro.;L’obbligo di reperibilità è espressamente escluso solo per malattie per le quali è stata riconosciuta la causa di servizio.;
316;Ai sensi della normativa vigente, in caso di assenza per malattia, l'obbligo di reperibilità del dipendente pubblico sussiste anche nei giorni non lavorativi e festivi?;Sì, sussiste anche per i giorni non lavorativi e festivi.;No, tale obbligo è espressamente escluso per i giorni non lavorativi e festivi.;Sì, tranne che per periodi di malattia superiore ai 10 giorni.;Sì, tranne che per periodi di malattia superiore ai 30 giorni.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
317;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., qualora, nel corso di un giudizio per la definizione di una controversia individuale, ritenga necessario un accertamento pregiudiziale sull’interpretazione autentica del contenuto di un contratto nazionale sottoscritto dall’ARAN, il Giudice trasmette gli atti:;all’ARAN e fissa una nuova udienza non prima di 120 giorni.;all’ARAN e fissa una nuova udienza non prima di 60 giorni.;all’ARAN e alle organizzazioni sindacali firmatarie del contratto nazionale e fissa una nuova udienza non prima di 90 giorni.;all’ARAN e alle organizzazioni sindacali firmatarie del contratto nazionale e fissa una nuova udienza non prima di 180 giorni.;
318;A norma del D.lgs. n. 165/2001 e ss.mm.ii., i dipendenti comunali sono collocati in aspettativa senza assegni se eletti:;al Parlamento nazionale, al Parlamento europeo e nei Consigli regionali.;esclusivamente al Parlamento nazionale.;esclusivamente al Parlamento nazionale e al Parlamento europeo.;esclusivamente nei Consigli regionali.;
319;Il D. Lgs. n. 165/2001 e ss.mm.ii. prevede ipotesi in cui l’ARAN possa intervenire nei giudizi innanzi al Giudice ordinario, in funzione di giudice del lavoro, aventi ad oggetto le controversie relative ai rapporti di lavoro alle dipendenze delle Pubbliche Amministrazioni?;Sì, prevede diverse ipotesi al riguardo.;No, l’intervento dell’ARAN in tali giudizi è sempre escluso.;Sì, l’intervento dell’ARAN è ammesso in ogni caso.;Tale fattispecie non è contemplata dalla normativa.;
320;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., la violazione dei doveri contenuti nel Codice di comportamento dei dipendenti pubblici, è fonte di responsabilità disciplinare per tutti i suddetti dipendenti?;Sì, in ogni caso, compresi quelli relativi all’attuazione del Piano di prevenzione della corruzione.;Sì, ma solo quelle relative all’attuazione del Piano di prevenzione della corruzione.;No, salvo le eccezioni espressamente previste dal medesimo D.lgs. 165/2001.;Sì, con la sola eccezione delle violazioni relative all’attuazione del Piano di prevenzione della corruzione, che costituiscono sempre e solo violazioni penali.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;;RISPOSTA4
321;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., per la falsa attestazione della giustificazione dell’assenza dal servizio mediante una certificazione medica falsa o che attesta falsamente uno stato di malattia, è previsto:;il licenziamento senza preavviso.;il licenziamento con il preavviso di 30 giorni.;la sospensione dal servizio per sei mesi.;la sospensione dal servizio per sei mesi con la privazione dello stipendio.;
322;Ai sensi del D. Lgs. n. 165/2001 e ss.mm.ii., nell'ambito del novellato procedimento disciplinare, la contestazione dell'addebito all'incolpato deve essere effettuata:;tramite posta elettronica certificata (PEC), ovvero in mancanza di essa, tramite consegna a mano.;mediante raccomandata A.R.;nelle forme della notifica degli atti processuali;a voce.;
323;A chi appartengono le funzioni di indirizzo politico- amministrativo di cui all'art. 4 del D. Lgs. n.165/2001 e ss.mm.ii.?;Agli organi di vertice amministrativo in genere.;Ai direttori generali.;Ai dirigenti.;Nessuna delle alternative proposte è corretta.;
324;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., l’azione di vigilanza sull'applicazione del Codice di comportamento del personale delle PP.AA. è esercitata:;tra gli altri, dai dirigenti responsabili di ciascuna struttura.;esclusivamente dai dirigenti responsabili di ciascuna struttura.;Esclusivamente dal Comitato dei Garanti.;esclusivamente dal Responsabile Anticorruzione.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
325;A norma delle disposizioni contenute nel D. Lgs. n. 165/2001 e ss.mm.ii., quale figura è competente, nell'ambito degli enti pubblici a contestare al dipendente l'addebito ai fini del procedimento disciplinare?;L'Ufficio per i procedimenti disciplinari.;Il dirigente del settore personale.;Il rappresentante legale dell'ente.;La Corte dei conti.;
326;A norma di quanto dispone il D. Lgs. n. 165/2001 e ss.mm.ii. in merito al procedimento disciplinare, il dipendente pubblico ha diritto di accesso agli atti istruttori?;Sì, salvo le limitazioni espressamente indicate dalla legge.;Sì, in ogni caso, senza limitazioni.;No, per gli atti istruttori, a differenza di quelli successivi, è vietato l'accesso.;È facoltà dell’amministrazione autorizzare l’accesso, in relazione alla tipologia di illecito disciplinare contestato.;
327;"Il D. Lgs. n. 165/2001 e ss.mm.ii., in materia di ""funzioni e responsabilità"", stabilisce che i dirigenti delle Pubbliche Amministrazioni:";sono responsabili in via esclusiva dell'attività amministrativa, della gestione e dei relativi risultati.;non sono direttamente responsabili né della gestione, né dei relativi risultati.;sono responsabili della gestione, ma non dei relativi risultati.;sono responsabili, in solido con l’organo politico di riferimento, dell'attività amministrativa, della gestione e dei relativi risultati.;
328;A norma del D. Lgs. n.165/2001 e ss.mm.ii., i limiti massimi delle aspettative e dei permessi sindacali nel settore pubblico sono determinati:;dalla contrattazione collettiva, in apposito accordo tra l’ARAN e le Confederazioni sindacali rappresentative.;dal codice di comportamento dei dipendenti pubblici.;dai contratti individuali di lavoro.;da un provvedimento adottato dall’ARAN, previo parere espresso dalle Confederazioni sindacali rappresentative.;
329;A norma del D. Lgs. n.165/2001 e ss.mm.ii., quanto dura in carica il Comitato dei Garanti?;Tre anni e l'incarico non è rinnovabile.;Cinque anni e l'incarico non è rinnovabile.;Cinque anni e l'incarico è sempre rinnovabile.;Tre anni e l'incarico è rinnovabile per un solo triennio.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
330;A norma del D. Lgs. n.165/2001 e ss.mm.ii., il parere del Comitato dei garanti viene reso:;entro il termine di quarantacinque giorni dalla richiesta.;entro il termine di trenta giorni dalla richiesta.;entro il termine di venti giorni dalla richiesta.;entro il termine di sessanta giorni dalla richiesta.;
331;A norma del D. Lgs. n. 165/2001 e ss.mm.ii., il dipendente appartenente alla stessa p.a. dell'incolpato, che, essendo a conoscenza per ragioni di ufficio di informazioni rilevanti per un procedimento disciplinare in corso, rifiuta, senza giustificato motivo, la collaborazione richiesta dall'autorità disciplinare procedente, è soggetto all'applicazione, da parte dell'amministrazione di appartenenza di sanzioni disciplinari?;Sì, della sospensione dal servizio con privazione della retribuzione, commisurata alla gravità dell'illecito contestato al dipendente, fino ad un massimo di quindici giorni.;Sì, della sospensione dal servizio fino ad un massimo di sei mesi.;Sì, del licenziamento con preavviso.;No.;
